rank,city,zone_id,latitude,longitude,cluster_radius_km,target_month,target_start_date,time_window,is_peak_window,predicted_risk_tier,predicted_high_probability,actual_risk_tier,top_shap_factors,factor_contributions,retrieved_guidance,source_organization,source_title,source_url,retrieval_score,all_retrieved_chunks,retrieval_query
64,Hyderabad,233,17.27767,78.27841,7.363,2025-02,2025-02-01,04:00 - 07:59 (Early Morning),False,HIGH,0.741,LOW,Persistent accident history in prior 180 days (+0.394) | High cumulative historical crash density (+0.356) | Cluster spatial footprint size (+0.184) | Historically elevated severity index during this specific time shift (+0.133),lag_accidents_180d=0.394; lag_expanding_accidents=0.356; max_r_km=0.184; lag_zw_expanding_swri=0.133,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8281,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
65,Chennai,138,13.14963,80.13139,4.294,2025-02,2025-02-01,00:00 - 03:59 (Late Night),False,HIGH,0.7389,HIGH,Persistent accident history in prior 180 days (+0.394) | Historically elevated severity index during this specific time shift (+0.267) | Cluster spatial footprint size (+0.183) | High cumulative historical crash density (+0.171),lag_accidents_180d=0.394; lag_zw_expanding_swri=0.267; max_r_km=0.183; lag_expanding_accidents=0.171,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8268,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety large zone area treatment India. night time road safety darkness driving India. Chennai urban road safety
66,Kolkata,283,22.56314,88.46385,4.908,2025-02,2025-02-01,16:00 - 19:59 (Evening Rush),True,HIGH,0.7354,HIGH,Persistent accident history in prior 180 days (+0.435) | Cluster spatial footprint size (+0.233) | High cumulative historical crash density (+0.229) | Elevated historical fatal accident ratio (+0.063),lag_accidents_180d=0.435; max_r_km=0.233; lag_expanding_accidents=0.229; lag_expanding_fatal_rate=0.063,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8322,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. peak hour traffic congestion road safety India. Kolkata road safety pedestrian
67,Hyderabad,248,17.46615,78.48164,6.679,2025-03,2025-03-01,12:00 - 15:59 (Afternoon),False,HIGH,0.7312,HIGH,Persistent accident history in prior 180 days (+0.343) | High cumulative historical crash density (+0.235) | Cluster spatial footprint size (+0.223) | Historically elevated severity index during this specific time shift (+0.149),lag_accidents_180d=0.343; lag_expanding_accidents=0.235; max_r_km=0.223; lag_zw_expanding_swri=0.149,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8316,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. Hyderabad urban corridor road safety
68,Hyderabad,223,17.40203,78.29139,8.625,2025-04,2025-04-01,12:00 - 15:59 (Afternoon),False,HIGH,0.7306,LOW,Persistent accident history in prior 180 days (+0.449) | High cumulative historical crash density (+0.274) | Cluster spatial footprint size (+0.252) | Historically elevated severity index during this specific time shift (+0.215),lag_accidents_180d=0.449; lag_expanding_accidents=0.274; max_r_km=0.252; lag_zw_expanding_swri=0.215,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8316,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. Hyderabad urban corridor road safety
69,Hyderabad,223,17.40203,78.29139,8.625,2025-03,2025-03-01,12:00 - 15:59 (Afternoon),False,HIGH,0.7285,HIGH,Persistent accident history in prior 180 days (+0.445) | High cumulative historical crash density (+0.283) | Cluster spatial footprint size (+0.232) | Historically elevated severity index during this specific time shift (+0.205),lag_accidents_180d=0.445; lag_expanding_accidents=0.283; max_r_km=0.232; lag_zw_expanding_swri=0.205,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8316,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. Hyderabad urban corridor road safety
70,Bangalore,51,13.12692,77.58163,7.849,2025-02,2025-02-01,20:00 - 23:59 (Night),False,HIGH,0.728,HIGH,Persistent accident history in prior 180 days (+0.461) | High cumulative historical crash density (+0.278) | Cluster spatial footprint size (+0.226) | Historically elevated severity index during this specific time shift (+0.210),lag_accidents_180d=0.461; lag_expanding_accidents=0.278; max_r_km=0.226; lag_zw_expanding_swri=0.210,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8361,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. peak hour traffic congestion road safety India. Bangalore urban traffic management road safety
71,Hyderabad,233,17.27767,78.27841,7.363,2025-03,2025-03-01,12:00 - 15:59 (Afternoon),False,HIGH,0.7265,LOW,Persistent accident history in prior 180 days (+0.409) | Historically elevated severity index during this specific time shift (+0.301) | Cluster spatial footprint size (+0.171) | Elevated accident volume in prior 90 days (+0.060),lag_accidents_180d=0.409; lag_zw_expanding_swri=0.301; max_r_km=0.171; lag_accidents_90d=0.060,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8373,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety large zone area treatment India. Hyderabad urban corridor road safety
72,Pune,363,18.49661,73.88325,7.781,2025-02,2025-02-01,20:00 - 23:59 (Night),False,HIGH,0.726,LOW,Persistent accident history in prior 180 days (+0.456) | Historically elevated severity index during this specific time shift (+0.361) | Cluster spatial footprint size (+0.312) | High cumulative historical crash density (+0.274),lag_accidents_180d=0.456; lag_zw_expanding_swri=0.361; max_r_km=0.312; lag_expanding_accidents=0.274,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8422,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety large zone area treatment India. peak hour traffic congestion road safety India. Maharashtra urban arterial road safety
73,Hyderabad,233,17.27767,78.27841,7.363,2025-04,2025-04-01,00:00 - 03:59 (Late Night),False,HIGH,0.7249,MEDIUM,Persistent accident history in prior 180 days (+0.356) | Cluster spatial footprint size (+0.204) | Historically elevated severity index during this specific time shift (+0.150) | High cumulative historical crash density (+0.117),lag_accidents_180d=0.356; max_r_km=0.204; lag_zw_expanding_swri=0.150; lag_expanding_accidents=0.117,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.822,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. night time road safety darkness driving India. Hyderabad urban corridor road safety
74,Hyderabad,233,17.27767,78.27841,7.363,2025-02,2025-02-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7236,MEDIUM,Persistent accident history in prior 180 days (+0.376) | High cumulative historical crash density (+0.337) | Historically elevated severity index during this specific time shift (+0.208) | Cluster spatial footprint size (+0.182),lag_accidents_180d=0.376; lag_expanding_accidents=0.337; lag_zw_expanding_swri=0.208; max_r_km=0.182,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8387,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. high severity crash history specific location time window road safety engineering treatment India night time peak hour. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
75,Mumbai,319,18.85549,72.92374,10.252,2025-03,2025-03-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7217,HIGH,Persistent accident history in prior 180 days (+0.427) | High cumulative historical crash density (+0.254) | Cluster spatial footprint size (+0.232) | Historically elevated severity index during this specific time shift (+0.211),lag_accidents_180d=0.427; lag_expanding_accidents=0.254; max_r_km=0.232; lag_zw_expanding_swri=0.211,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8353,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. peak hour traffic congestion road safety India. Mumbai Metropolitan Region urban highway road safety
76,Chandigarh,97,30.61774,76.77995,4.127,2025-02,2025-02-01,00:00 - 03:59 (Late Night),False,HIGH,0.7209,HIGH,High cumulative historical crash density (+0.480) | Persistent accident history in prior 180 days (+0.416) | Cluster spatial footprint size (+0.177) | Elevated historical fatal accident ratio (+0.088),lag_expanding_accidents=0.480; lag_accidents_180d=0.416; max_r_km=0.177; lag_expanding_fatal_rate=0.088,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8419,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. night time road safety darkness driving India. Chandigarh planned city road safety
77,Hyderabad,233,17.27767,78.27841,7.363,2025-04,2025-04-01,04:00 - 07:59 (Early Morning),False,HIGH,0.7148,HIGH,Persistent accident history in prior 180 days (+0.345) | Cluster spatial footprint size (+0.204) | Historically elevated severity index during this specific time shift (+0.180) | High cumulative historical crash density (+0.130),lag_accidents_180d=0.345; max_r_km=0.204; lag_zw_expanding_swri=0.180; lag_expanding_accidents=0.130,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.822,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. night time road safety darkness driving India. Hyderabad urban corridor road safety
78,Pune,363,18.49661,73.88325,7.781,2025-04,2025-04-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7145,LOW,High cumulative historical crash density (+0.471) | Persistent accident history in prior 180 days (+0.444) | Cluster spatial footprint size (+0.340) | Geographic longitude coordinate (+0.072),lag_expanding_accidents=0.471; lag_accidents_180d=0.444; max_r_km=0.340; center_lon=0.072,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.851,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. peak hour traffic congestion road safety India. Maharashtra urban arterial road safety
79,Pune,363,18.49661,73.88325,7.781,2025-03,2025-03-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.7129,MEDIUM,High cumulative historical crash density (+0.494) | Persistent accident history in prior 180 days (+0.437) | Cluster spatial footprint size (+0.340) | Elevated historical fatal accident ratio (+0.060),lag_expanding_accidents=0.494; lag_accidents_180d=0.437; max_r_km=0.340; lag_expanding_fatal_rate=0.060,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.851,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. peak hour traffic congestion road safety India. Maharashtra urban arterial road safety
80,Hyderabad,223,17.40203,78.29139,8.625,2025-01,2025-01-01,16:00 - 19:59 (Evening Rush),True,HIGH,0.7112,HIGH,Persistent accident history in prior 180 days (+0.389) | High cumulative historical crash density (+0.312) | Cluster spatial footprint size (+0.254) | Historically elevated severity index during this specific time shift (+0.162),lag_accidents_180d=0.389; lag_expanding_accidents=0.312; max_r_km=0.254; lag_zw_expanding_swri=0.162,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8311,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, MORTH-ATTR-003",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
81,Kolkata,283,22.56314,88.46385,4.908,2025-04,2025-04-01,00:00 - 03:59 (Late Night),False,HIGH,0.7109,LOW,Persistent accident history in prior 180 days (+0.373) | Cluster spatial footprint size (+0.201) | High cumulative historical crash density (+0.164) | Elevated historical fatal accident ratio (+0.068),lag_accidents_180d=0.373; max_r_km=0.201; lag_expanding_accidents=0.164; lag_expanding_fatal_rate=0.068,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8286,"WHO-IND-001-02, WHO-IND-RS-WEB-001, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Kolkata road safety pedestrian
82,Pune,363,18.49661,73.88325,7.781,2025-04,2025-04-01,04:00 - 07:59 (Early Morning),False,HIGH,0.7044,LOW,Persistent accident history in prior 180 days (+0.458) | Historically elevated severity index during this specific time shift (+0.373) | High cumulative historical crash density (+0.276) | Cluster spatial footprint size (+0.200),lag_accidents_180d=0.458; lag_zw_expanding_swri=0.373; lag_expanding_accidents=0.276; max_r_km=0.200,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8379,"WHO-IND-001-02, WHO-GLB-RTI-03, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Maharashtra urban arterial road safety
83,Pune,363,18.49661,73.88325,7.781,2025-01,2025-01-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.704,MEDIUM,High cumulative historical crash density (+0.496) | Persistent accident history in prior 180 days (+0.449) | Cluster spatial footprint size (+0.325) | Elevated accident volume in prior 90 days (+0.070),lag_expanding_accidents=0.496; lag_accidents_180d=0.449; max_r_km=0.325; lag_accidents_90d=0.070,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.851,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. peak hour traffic congestion road safety India. Maharashtra urban arterial road safety
84,Chennai,138,13.14963,80.13139,4.294,2025-03,2025-03-01,04:00 - 07:59 (Early Morning),False,HIGH,0.7029,HIGH,Historically elevated severity index during this specific time shift (+0.568) | Persistent accident history in prior 180 days (+0.398) | Cluster spatial footprint size (+0.187) | High cumulative historical crash density (+0.154),lag_zw_expanding_swri=0.568; lag_accidents_180d=0.398; max_r_km=0.187; lag_expanding_accidents=0.154,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8135,"WHO-IND-001-02, WHO-GLB-RTI-03, MORTH-ATTR-003",high severity crash history specific location time window road safety engineering treatment India night time peak hour. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. night time road safety darkness driving India. Chennai urban road safety
85,Hyderabad,223,17.40203,78.29139,8.625,2025-02,2025-02-01,04:00 - 07:59 (Early Morning),False,HIGH,0.7017,LOW,Persistent accident history in prior 180 days (+0.448) | High cumulative historical crash density (+0.443) | Cluster spatial footprint size (+0.239) | Historically elevated severity index during this specific time shift (+0.096),lag_accidents_180d=0.448; lag_expanding_accidents=0.443; max_r_km=0.239; lag_zw_expanding_swri=0.096,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8281,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
86,Chandigarh,97,30.61774,76.77995,4.127,2025-02,2025-02-01,12:00 - 15:59 (Afternoon),False,HIGH,0.7,LOW,High cumulative historical crash density (+0.484) | Persistent accident history in prior 180 days (+0.409) | Cluster spatial footprint size (+0.167) | Elevated historical fatal accident ratio (+0.097),lag_expanding_accidents=0.484; lag_accidents_180d=0.409; max_r_km=0.167; lag_expanding_fatal_rate=0.097,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.848,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. Chandigarh planned city road safety
87,Hyderabad,223,17.40203,78.29139,8.625,2025-03,2025-03-01,20:00 - 23:59 (Night),False,HIGH,0.6999,MEDIUM,Persistent accident history in prior 180 days (+0.451) | High cumulative historical crash density (+0.268) | Cluster spatial footprint size (+0.223) | Historically elevated severity index during this specific time shift (+0.220),lag_accidents_180d=0.451; lag_expanding_accidents=0.268; max_r_km=0.223; lag_zw_expanding_swri=0.220,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8311,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, MORTH-ATTR-003",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
88,Pune,363,18.49661,73.88325,7.781,2025-02,2025-02-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.6998,LOW,High cumulative historical crash density (+0.466) | Cluster spatial footprint size (+0.440) | Persistent accident history in prior 180 days (+0.437) | High recent accident surge in prior 30 days (+0.065),lag_expanding_accidents=0.466; max_r_km=0.440; lag_accidents_180d=0.437; lag_accidents_30d=0.065,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8475,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. sustained high accident frequency 6 month road safety treatment India. peak hour traffic congestion road safety India. Maharashtra urban arterial road safety
89,Hyderabad,233,17.27767,78.27841,7.363,2025-04,2025-04-01,08:00 - 11:59 (Morning Rush),True,HIGH,0.6998,MEDIUM,Persistent accident history in prior 180 days (+0.331) | Cluster spatial footprint size (+0.200) | Historically elevated severity index during this specific time shift (+0.197) | High cumulative historical crash density (+0.124),lag_accidents_180d=0.331; max_r_km=0.200; lag_zw_expanding_swri=0.197; lag_expanding_accidents=0.124,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8292,"WHO-IND-001-02, MORTH-ATTR-003, WHO-SAVE-LIVES-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
90,Hyderabad,240,17.29291,78.55353,6.212,2025-04,2025-04-01,04:00 - 07:59 (Early Morning),False,HIGH,0.6989,LOW,Persistent accident history in prior 180 days (+0.363) | Cluster spatial footprint size (+0.215) | High cumulative historical crash density (+0.196) | Historically elevated severity index during this specific time shift (+0.144),lag_accidents_180d=0.363; max_r_km=0.215; lag_expanding_accidents=0.196; lag_zw_expanding_swri=0.144,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8261,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Hyderabad urban corridor road safety
91,Hyderabad,233,17.27767,78.27841,7.363,2025-02,2025-02-01,16:00 - 19:59 (Evening Rush),True,HIGH,0.697,LOW,Persistent accident history in prior 180 days (+0.391) | High cumulative historical crash density (+0.339) | Cluster spatial footprint size (+0.177) | Historically elevated severity index during this specific time shift (+0.129),lag_accidents_180d=0.391; lag_expanding_accidents=0.339; max_r_km=0.177; lag_zw_expanding_swri=0.129,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8311,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, MORTH-ATTR-003",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. peak hour traffic congestion road safety India. Hyderabad urban corridor road safety
92,Mumbai,319,18.85549,72.92374,10.252,2025-01,2025-01-01,04:00 - 07:59 (Early Morning),False,HIGH,0.696,HIGH,Persistent accident history in prior 180 days (+0.398) | Historically elevated severity index during this specific time shift (+0.331) | High cumulative historical crash density (+0.299) | Cluster spatial footprint size (+0.245),lag_accidents_180d=0.398; lag_zw_expanding_swri=0.331; lag_expanding_accidents=0.299; max_r_km=0.245,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8328,"WHO-IND-001-02, WHO-GLB-RTI-03, MORTH-ATTR-003",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. night time road safety darkness driving India. Mumbai Metropolitan Region urban highway road safety
93,Hyderabad,233,17.27767,78.27841,7.363,2025-04,2025-04-01,12:00 - 15:59 (Afternoon),False,HIGH,0.6953,LOW,Persistent accident history in prior 180 days (+0.344) | Historically elevated severity index during this specific time shift (+0.332) | Cluster spatial footprint size (+0.202) | High recent accident surge in prior 30 days (+0.046),lag_accidents_180d=0.344; lag_zw_expanding_swri=0.332; max_r_km=0.202; lag_accidents_30d=0.046,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8373,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. road safety large zone area treatment India. Hyderabad urban corridor road safety
94,Hyderabad,248,17.46615,78.48164,6.679,2025-01,2025-01-01,04:00 - 07:59 (Early Morning),False,HIGH,0.6948,LOW,Persistent accident history in prior 180 days (+0.403) | High cumulative historical crash density (+0.206) | Cluster spatial footprint size (+0.206) | Historically elevated severity index during this specific time shift (+0.100),lag_accidents_180d=0.403; lag_expanding_accidents=0.206; max_r_km=0.206; lag_zw_expanding_swri=0.100,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8281,"WHO-IND-001-02, WHO-SAVE-LIVES-WEB-001, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety treatment for locations with high historical accident frequency and crash density India blackspot identification engineering countermeasure. road safety large zone area treatment India. night time road safety darkness driving India. Hyderabad urban corridor road safety
95,Bangalore,51,13.12692,77.58163,7.849,2025-03,2025-03-01,00:00 - 03:59 (Late Night),False,HIGH,0.6944,HIGH,Persistent accident history in prior 180 days (+0.471) | Cluster spatial footprint size (+0.244) | Historically elevated severity index during this specific time shift (+0.224) | High cumulative historical crash density (+0.211),lag_accidents_180d=0.471; max_r_km=0.244; lag_zw_expanding_swri=0.224; lag_expanding_accidents=0.211,Road Safety in India — Risk Factors and Countermeasures,World Health Organization (WHO India),Road Safety in India — Risk Factors and Countermeasures,https://www.who.int/india/health-topics/road-safety,0.8292,"WHO-IND-001-02, MORTH-ATTR-003, WHO-IND-RS-WEB-001",sustained high accident frequency 6 month road safety treatment India. road safety large zone area treatment India. high severity crash history specific location time window road safety engineering treatment India night time peak hour. night time road safety darkness driving India. Bangalore urban traffic management road safety
